Report Refresh Date,Report Date,Team Chat Messages,Private Chat Messages,Calls,Meetings,Other Actions,Report Period
2022-09-08,2022-07-07,50,2109,506,1790,1317,180
2022-09-08,2022-07-06,40,2111,482,1811,1345,180
2022-09-08,2022-07-05,61,2170,471,1883,1251,180
2022-09-08,2022-07-04,64,2179,506,2081,1203,180
2022-09-08,2022-07-03,8,319,24,165,1325,180
2022-09-08,2022-07-02,1,228,20,80,1291,180
2022-09-08,2022-07-01,46,1954,353,1569,1330,180
2022-09-08,2022-06-30,39,2085,461,1315,1477,180
2022-09-08,2022-06-29,45,2152,330,1309,1471,180
2022-09-08,2022-06-28,40,2142,307,1715,1336,180
2022-09-08,2022-06-27,48,2098,276,1470,1314,180
2022-09-08,2022-06-26,3,363,32,142,1437,180
2022-09-08,2022-06-25,4,353,24,101,1229,180
2022-09-08,2022-06-24,37,1901,232,1162,1381,180
2022-09-08,2022-06-23,34,2038,299,1147,1426,180
2022-09-08,2022-06-22,50,2026,267,1220,1382,180
2022-09-08,2022-06-21,40,2141,337,1501,1299,180
2022-09-08,2022-06-20,47,2134,433,1887,1185,180
2022-09-08,2022-06-19,2,450,23,263,1479,180
2022-09-08,2022-06-18,1,368,14,170,1220,180
2022-09-08,2022-06-17,42,2014,400,1489,1183,180
2022-09-08,2022-06-16,47,2053,359,1551,1278,180
2022-09-08,2022-06-15,39,2131,368,1684,1235,180
2022-09-08,2022-06-14,56,2172,450,1815,1168,180
2022-09-08,2022-06-13,56,2132,412,1917,1228,180
2022-09-08,2022-06-12,6,386,16,229,1490,180
2022-09-08,2022-06-11,2,353,20,105,1261,180
2022-09-08,2022-06-10,57,2012,393,1690,1218,180
2022-09-08,2022-06-09,41,2079,419,1574,1254,180
2022-09-08,2022-06-08,56,2155,437,1562,1170,180
2022-09-08,2022-06-07,60,2115,410,1669,1298,180
2022-09-08,2022-06-06,70,2193,499,1868,1166,180
2022-09-08,2022-06-05,6,379,50,190,1594,180
2022-09-08,2022-06-04,5,336,33,150,1430,180
2022-09-08,2022-06-03,56,2097,431,1575,1204,180
2022-09-08,2022-06-02,52,2113,459,1534,1327,180
2022-09-08,2022-06-01,11,533,55,270,1668,180
2022-09-08,2022-05-31,45,2109,398,1684,1224,180
2022-09-08,2022-05-30,67,2145,480,1920,1119,180
2022-09-08,2022-05-29,9,331,31,126,1515,180
2022-09-08,2022-05-28,3,290,28,136,1419,180
2022-09-08,2022-05-27,51,1995,458,1701,1120,180
2022-09-08,2022-05-26,3,395,30,155,1648,180
2022-09-08,2022-05-25,42,2121,427,1757,1201,180
2022-09-08,2022-05-24,44,2190,454,1827,1180,180
2022-09-08,2022-05-23,60,2170,451,1946,1096,180
2022-09-08,2022-05-22,1,409,51,243,1509,180
2022-09-08,2022-05-21,0,388,35,147,1524,180
2022-09-08,2022-05-20,61,1962,383,1556,1226,180
2022-09-08,2022-05-19,56,2011,412,1669,1239,180
2022-09-08,2022-05-18,47,2053,409,1720,1211,180
2022-09-08,2022-05-17,58,2075,418,1817,1114,180
2022-09-08,2022-05-16,7,484,65,365,1530,180
2022-09-08,2022-05-15,2,197,17,101,1164,180
2022-09-08,2022-05-14,2,292,23,150,1339,180
2022-09-08,2022-05-13,63,1921,441,1629,1201,180
2022-09-08,2022-05-12,63,1968,426,1535,1390,180
2022-09-08,2022-05-11,59,1902,400,1571,1175,180
2022-09-08,2022-05-10,58,1837,387,1448,1219,180
2022-09-08,2022-05-09,47,1672,324,1347,1233,180
2022-09-08,2022-05-08,0,171,10,48,1203,180
2022-09-08,2022-05-07,0,77,6,28,770,180
2022-09-08,2022-05-06,0,56,6,16,933,180
2022-09-08,2022-05-05,0,47,8,22,632,180
2022-09-08,2022-05-04,0,53,6,25,715,180
2022-09-08,2022-05-03,0,23,2,4,772,180
2022-09-08,2022-05-02,0,23,4,3,534,180
2022-09-08,2022-05-01,0,67,10,27,1051,180
2022-09-08,2022-04-30,1,63,13,39,958,180
2022-09-08,2022-04-29,0,148,18,95,1142,180
2022-09-08,2022-04-28,29,1748,374,1459,1341,180
2022-09-08,2022-04-27,53,1930,422,1526,1342,180
2022-09-08,2022-04-26,49,1956,397,1681,1270,180
2022-09-08,2022-04-25,50,2041,451,1851,1222,180
2022-09-08,2022-04-24,3,416,61,358,1540,180
2022-09-08,2022-04-23,0,313,33,161,1378,180
2022-09-08,2022-04-22,33,1949,386,1546,1294,180
2022-09-08,2022-04-21,52,2026,460,1586,1348,180
2022-09-08,2022-04-20,42,2037,404,1764,1288,180
2022-09-08,2022-04-19,45,2091,445,1946,1157,180
2022-09-08,2022-04-18,61,2068,452,1919,1250,180
2022-09-08,2022-04-17,11,436,51,295,1689,180
2022-09-08,2022-04-16,1,269,29,148,1532,180
2022-09-08,2022-04-15,1,350,40,167,1531,180
2022-09-08,2022-04-14,53,2059,513,1817,1295,180
2022-09-08,2022-04-13,52,2048,473,2132,1102,180
2022-09-08,2022-04-12,47,2088,490,1828,1195,180
2022-09-08,2022-04-11,57,2071,516,2076,1196,180
2022-09-08,2022-04-10,6,479,56,338,1715,180
2022-09-08,2022-04-09,0,340,47,190,1620,180
2022-09-08,2022-04-08,56,2004,518,1915,1180,180
2022-09-08,2022-04-07,39,2067,497,1990,1223,180
2022-09-08,2022-04-06,57,2054,571,1913,1382,180
2022-09-08,2022-04-05,49,2062,540,1810,1278,180
2022-09-08,2022-04-04,69,2052,533,2004,1206,180
2022-09-08,2022-04-03,5,334,35,193,1835,180
2022-09-08,2022-04-02,2,230,29,131,1406,180
2022-09-08,2022-04-01,60,1899,528,1594,1286,180
2022-09-08,2022-03-31,54,2037,559,1981,1193,180
2022-09-08,2022-03-30,48,1992,547,2067,1128,180
2022-09-08,2022-03-29,47,1967,530,1638,1336,180
2022-09-08,2022-03-28,49,2007,534,2019,1130,180
2022-09-08,2022-03-27,1,301,45,171,1604,180
2022-09-08,2022-03-26,1,229,25,107,1419,180
2022-09-08,2022-03-25,50,1998,673,1875,1133,180
2022-09-08,2022-03-24,56,2091,799,2028,1151,180
2022-09-08,2022-03-23,53,2144,822,2040,1139,180
2022-09-08,2022-03-22,40,2129,785,1869,1154,180
2022-09-08,2022-03-21,51,2035,726,2091,1173,180
2022-09-08,2022-03-20,3,267,27,104,1773,180
2022-09-08,2022-03-19,1,224,29,86,1382,180
2022-09-08,2022-03-18,35,1978,638,1917,1171,180
2022-09-08,2022-03-17,51,2053,680,1968,1147,180
2022-09-08,2022-03-16,55,2070,655,1886,1221,180
2022-09-08,2022-03-15,61,2071,661,2136,1119,180
2022-09-08,2022-03-14,56,2091,648,2201,1089,180
2022-09-08,2022-03-13,5,313,48,151,1636,180
