Report Refresh Date,Report Period,Report Date,ActiveChannelUsers,ActiveChannels,ChannelMessages,Guests,Reactions,Meetings Organized,Post Messages,Reply Messages,Urgent Messages,Mentions,Active Shared Channels,Active External Users
2022-09-10,180,2022-07-28,857,332,176,11,5,1,35,115,0,39,0,0
2022-09-10,180,2022-07-27,979,342,122,8,6,8,25,60,0,45,0,0
2022-09-10,180,2022-07-26,1015,336,133,7,1,2,23,70,0,33,0,0
2022-09-10,180,2022-07-25,1095,336,200,9,1,11,40,109,0,43,0,0
2022-09-10,180,2022-07-24,217,117,14,1,1,5,8,6,0,3,0,0
2022-09-10,180,2022-07-23,174,89,3,0,0,0,0,3,0,0,0,0
2022-09-10,180,2022-07-22,914,278,167,9,7,3,27,106,0,42,0,0
2022-09-10,180,2022-07-21,1330,350,117,10,5,10,42,49,0,32,0,0
2022-09-10,180,2022-07-20,1752,417,173,9,7,21,40,94,0,62,0,0
2022-09-10,180,2022-07-19,1185,351,194,8,8,4,35,121,0,56,0,0
2022-09-10,180,2022-07-18,1891,433,158,16,21,8,29,100,0,59,0,0
2022-09-10,180,2022-07-17,149,94,17,0,0,0,2,3,0,1,0,0
2022-09-10,180,2022-07-16,97,81,2,0,0,0,2,0,0,2,0,0
2022-09-10,180,2022-07-15,643,282,118,3,11,4,17,75,0,50,0,0
2022-09-10,180,2022-07-14,682,261,117,3,3,5,24,71,0,28,0,0
2022-09-10,180,2022-07-13,764,304,142,7,0,11,33,79,0,29,0,0
2022-09-10,180,2022-07-12,735,291,181,7,7,2,33,119,0,44,0,0
2022-09-10,180,2022-07-11,778,320,125,5,3,2,27,70,0,35,0,0
2022-09-10,180,2022-07-10,97,69,18,0,0,0,5,9,0,3,0,0
2022-09-10,180,2022-07-09,120,77,20,2,0,0,2,15,0,1,0,0
2022-09-10,180,2022-07-08,687,286,150,7,2,4,28,87,0,42,0,0
2022-09-10,180,2022-07-07,745,318,149,6,14,3,32,88,0,62,0,0
2022-09-10,180,2022-07-06,787,319,182,13,7,6,23,115,0,24,0,0
2022-09-10,180,2022-07-05,872,320,171,7,11,5,33,101,0,40,0,0
2022-09-10,180,2022-07-04,998,369,224,12,18,5,34,130,0,40,0,0
2022-09-10,180,2022-07-03,175,105,24,1,0,1,4,14,0,2,0,0
2022-09-10,180,2022-07-02,109,72,1,2,3,1,1,0,0,0,0,0
2022-09-10,180,2022-07-01,660,301,122,4,6,8,24,65,0,42,0,0
