Report Refresh Date,Report Period,Report Date,Outlook,Word,Excel,PowerPoint,OneNote,Teams
2022-09-09,180,2022-07-14,268,850,1227,582,46,3785
2022-09-09,180,2022-07-13,270,921,1296,589,57,3841
2022-09-09,180,2022-07-12,277,940,1250,608,53,3763
2022-09-09,180,2022-07-11,269,815,1237,590,55,3803
2022-09-09,180,2022-07-10,107,271,408,235,17,1568
2022-09-09,180,2022-07-09,102,251,375,201,21,1422
2022-09-09,180,2022-07-08,303,1024,1317,634,43,3797
2022-09-09,180,2022-07-07,302,884,1298,637,57,3907
2022-09-09,180,2022-07-06,293,881,1352,641,49,3941
2022-09-09,180,2022-07-05,301,982,1399,669,67,3970
2022-09-09,180,2022-07-04,301,901,1390,699,40,4039
2022-09-09,180,2022-07-03,124,304,455,297,18,1727
2022-09-09,180,2022-07-02,107,282,365,203,20,1562
2022-09-09,180,2022-07-01,273,833,1319,540,59,3748
2022-09-09,180,2022-06-30,289,821,1248,534,31,3885
2022-09-09,180,2022-06-29,287,817,1158,560,30,3946
2022-09-09,180,2022-06-28,282,808,1134,622,70,3964
2022-09-09,180,2022-06-27,295,952,1204,699,71,3799
2022-09-09,180,2022-06-26,142,408,518,377,31,1871
2022-09-09,180,2022-06-25,124,310,436,284,29,1623
2022-09-09,180,2022-06-24,270,885,1134,682,59,3567
2022-09-09,180,2022-06-23,283,983,1308,734,58,3748
2022-09-09,180,2022-06-22,278,899,1216,678,65,3709
2022-09-09,180,2022-06-21,313,1124,1441,797,69,3855
2022-09-09,180,2022-06-20,306,1183,1501,835,38,3923
2022-09-09,180,2022-06-19,145,419,591,376,26,2020
2022-09-09,180,2022-06-18,148,317,471,295,22,1666
2022-09-09,180,2022-06-17,284,839,1177,617,71,3625
2022-09-09,180,2022-06-16,287,1087,1299,739,70,3784
2022-09-09,180,2022-06-15,307,1122,1327,761,70,3841
2022-09-09,180,2022-06-14,280,1013,1403,727,61,3914
2022-09-09,180,2022-06-13,282,1067,1473,739,64,3952
2022-09-09,180,2022-06-12,141,433,605,323,36,2013
2022-09-09,180,2022-06-11,103,304,462,261,37,1661
2022-09-09,180,2022-06-10,266,928,1294,644,76,3679
2022-09-09,180,2022-06-09,287,1080,1326,707,80,3769
2022-09-09,180,2022-06-08,299,1166,1501,727,79,3736
2022-09-09,180,2022-06-07,292,1136,1482,750,72,3878
2022-09-09,180,2022-06-06,295,1183,1660,837,69,3940
2022-09-09,180,2022-06-05,132,486,723,343,29,2060
2022-09-09,180,2022-06-04,111,335,538,231,22,1848
2022-09-09,180,2022-06-03,283,1152,1568,703,35,3776
2022-09-09,180,2022-06-02,269,1032,1509,656,69,3891
2022-09-09,180,2022-06-01,144,468,727,292,31,2353
2022-09-09,180,2022-05-31,245,889,1393,485,57,3864
2022-09-09,180,2022-05-30,240,915,1404,561,63,3883
2022-09-09,180,2022-05-29,132,346,620,224,26,1936
2022-09-09,180,2022-05-28,106,342,504,219,26,1779
2022-09-09,180,2022-05-27,246,911,1305,551,56,3642
2022-09-09,180,2022-05-26,128,380,600,261,20,2132
2022-09-09,180,2022-05-25,249,1013,1317,567,33,3881
2022-09-09,180,2022-05-24,246,1033,1391,628,62,3907
2022-09-09,180,2022-05-23,246,1118,1501,697,72,3880
2022-09-09,180,2022-05-22,143,495,699,393,20,2045
2022-09-09,180,2022-05-21,114,316,536,262,37,1985
2022-09-09,180,2022-05-20,246,983,1264,647,34,3709
2022-09-09,180,2022-05-19,263,1171,1402,741,42,3800
2022-09-09,180,2022-05-18,256,1117,1325,683,31,3785
2022-09-09,180,2022-05-17,277,1427,1525,818,70,3781
2022-09-09,180,2022-05-16,144,568,712,408,27,2224
2022-09-09,180,2022-05-15,73,304,424,157,12,1425
2022-09-09,180,2022-05-14,103,328,457,195,22,1705
2022-09-09,180,2022-05-13,249,1095,1360,613,70,3664
2022-09-09,180,2022-05-12,244,1196,1421,739,60,3794
2022-09-09,180,2022-05-11,237,1061,1345,656,58,3545
2022-09-09,180,2022-05-10,218,971,1200,649,27,3525
