Report Refresh Date,Site Type,Storage Used (Byte),Report Date,Report Period
2022-09-10,All,119031094396891,2022-06-13,180
2022-09-10,OneDrive,118717087898506,2022-06-12,180
2022-09-10,All,118717087898506,2022-06-12,180
2022-09-10,OneDrive,118641514932552,2022-06-11,180
2022-09-10,All,118641514932552,2022-06-11,180
2022-09-10,OneDrive,118563644042573,2022-06-10,180
2022-09-10,All,118563644042573,2022-06-10,180
2022-09-10,OneDrive,118311233747297,2022-06-09,180
2022-09-10,All,118311233747297,2022-06-09,180
2022-09-10,OneDrive,118008878647685,2022-06-08,180
2022-09-10,All,118008878647685,2022-06-08,180
2022-09-10,OneDrive,117659747746184,2022-06-07,180
2022-09-10,All,117659747746184,2022-06-07,180
2022-09-10,OneDrive,118003267499538,2022-06-06,180
2022-09-10,All,118003267499538,2022-06-06,180
2022-09-10,OneDrive,117568910646492,2022-06-05,180
2022-09-10,All,117568910646492,2022-06-05,180
2022-09-10,OneDrive,117503465216738,2022-06-04,180
2022-09-10,All,117503465216738,2022-06-04,180
2022-09-10,OneDrive,117474474583940,2022-06-03,180
2022-09-10,All,117474474583940,2022-06-03,180
2022-09-10,OneDrive,116416192546354,2022-06-02,180
2022-09-10,All,116416192546354,2022-06-02,180
2022-09-10,OneDrive,116559591261074,2022-06-01,180
2022-09-10,All,116559591261074,2022-06-01,180
2022-09-10,OneDrive,116577478361166,2022-05-31,180
2022-09-10,All,116577478361166,2022-05-31,180
2022-09-10,OneDrive,116643111599921,2022-05-30,180
2022-09-10,All,116643111599921,2022-05-30,180
2022-09-10,OneDrive,116233413118275,2022-05-29,180
2022-09-10,All,116233413118275,2022-05-29,180
2022-09-10,OneDrive,116256368513482,2022-05-28,180
2022-09-10,All,116256368513482,2022-05-28,180
2022-09-10,OneDrive,116256368513482,2022-05-27,180
2022-09-10,All,116256368513482,2022-05-27,180
2022-09-10,OneDrive,116014640915951,2022-05-26,180
2022-09-10,All,116014640915951,2022-05-26,180
2022-09-10,OneDrive,116029957509432,2022-05-25,180
2022-09-10,All,116029957509432,2022-05-25,180
2022-09-10,OneDrive,115782138251748,2022-05-24,180
2022-09-10,All,115782138251748,2022-05-24,180
2022-09-10,OneDrive,115371747760518,2022-05-23,180
2022-09-10,All,115371747760518,2022-05-23,180
2022-09-10,OneDrive,114947587813177,2022-05-22,180
2022-09-10,All,114947587813177,2022-05-22,180
2022-09-10,OneDrive,115015620753052,2022-05-21,180
2022-09-10,All,115015620753052,2022-05-21,180
2022-09-10,OneDrive,115015955761128,2022-05-20,180
2022-09-10,All,115015955761128,2022-05-20,180
2022-09-10,OneDrive,114808155142851,2022-05-19,180
2022-09-10,All,114808155142851,2022-05-19,180
2022-09-10,OneDrive,114643983353794,2022-05-18,180
2022-09-10,All,114643983353794,2022-05-18,180
2022-09-10,OneDrive,114293558416768,2022-05-17,180
2022-09-10,All,114293558416768,2022-05-17,180
2022-09-10,OneDrive,113940632612219,2022-05-16,180
2022-09-10,All,113940632612219,2022-05-16,180
2022-09-10,OneDrive,113820844648697,2022-05-15,180
2022-09-10,All,113820844648697,2022-05-15,180
2022-09-10,OneDrive,113744134598129,2022-05-14,180
2022-09-10,All,113744134598129,2022-05-14,180
2022-09-10,OneDrive,113283225525155,2022-05-13,180
2022-09-10,All,113283225525155,2022-05-13,180
2022-09-10,OneDrive,113283225525155,2022-05-12,180
2022-09-10,All,113283225525155,2022-05-12,180
2022-09-10,OneDrive,112433350935496,2022-05-11,180
2022-09-10,All,112433350935496,2022-05-11,180
2022-09-10,OneDrive,112208625363449,2022-05-10,180
2022-09-10,All,112208625363449,2022-05-10,180
2022-09-10,OneDrive,112001192772363,2022-05-09,180
2022-09-10,All,112001192772363,2022-05-09,180
2022-09-10,OneDrive,111727054095648,2022-05-08,180
2022-09-10,All,111727054095648,2022-05-08,180
2022-09-10,OneDrive,111811334649999,2022-05-07,180
2022-09-10,All,111811334649999,2022-05-07,180
2022-09-10,OneDrive,111843341423665,2022-05-06,180
2022-09-10,All,111843341423665,2022-05-06,180
2022-09-10,OneDrive,111889015148649,2022-05-05,180
2022-09-10,All,111889015148649,2022-05-05,180
2022-09-10,OneDrive,112107607366588,2022-05-04,180
2022-09-10,All,112107607366588,2022-05-04,180
2022-09-10,OneDrive,112107607366588,2022-05-03,180
2022-09-10,All,112107607366588,2022-05-03,180
2022-09-10,OneDrive,112193390863760,2022-05-02,180
2022-09-10,All,112193390863760,2022-05-02,180
2022-09-10,OneDrive,112245999766381,2022-05-01,180
2022-09-10,All,112245999766381,2022-05-01,180
2022-09-10,OneDrive,112245999766381,2022-04-30,180
2022-09-10,All,112245999766381,2022-04-30,180
2022-09-10,OneDrive,112299171627109,2022-04-29,180
2022-09-10,All,112299171627109,2022-04-29,180
2022-09-10,OneDrive,112355403461562,2022-04-28,180
