Report Refresh Date,Exchange,OneDrive,SharePoint,Skype For Business,Yammer,Teams,Report Date,Report Period
2022-09-10,7,71017,28562,,15,93169,2022-08-08,180
2022-09-10,6,63753,12174,,5,87236,2022-08-09,180
2022-09-10,4,83610,19224,,14,91543,2022-08-10,180
2022-09-10,4,53228,9190,,3,78013,2022-08-11,180
2022-09-10,2,48142,12634,,,78826,2022-08-12,180
2022-09-10,,25341,1939,,,2543,2022-08-13,180
2022-09-10,2,21895,1959,,,4397,2022-08-14,180
2022-09-10,4,37263,6581,,8,100373,2022-08-15,180
2022-09-10,8,49083,19054,,1,86747,2022-08-16,180
2022-09-10,,21631,9364,,,4908,2022-08-17,180
2022-09-10,16,54463,6686,,4,75479,2022-08-18,180
2022-09-10,4,40808,8994,,1,74930,2022-08-19,180
2022-09-10,,30380,1924,,,5625,2022-08-20,180
2022-09-10,2,26288,1969,,,6862,2022-08-21,180
2022-09-10,2,55685,9628,,11,97152,2022-08-22,180
2022-09-10,1,43845,8686,,9,81772,2022-08-23,180
2022-09-10,2,53048,7912,,8,77922,2022-08-24,180
2022-09-10,2,40894,8266,,5,79847,2022-08-25,180
2022-09-10,1,33041,7205,,7,72154,2022-08-26,180
2022-09-10,2,22048,1305,,20,2726,2022-08-27,180
2022-09-10,2,17467,1168,,,4204,2022-08-28,180
2022-09-10,7,76155,12844,,20,92816,2022-08-29,180
2022-09-10,5,41075,17787,,5,85003,2022-08-30,180
2022-09-10,2,80603,9311,,3,78448,2022-08-31,180
2022-09-10,5,66750,20121,,,74210,2022-09-01,180
2022-09-10,2,30479,10879,,2,69073,2022-09-02,180
2022-09-10,3,38781,1212,,,2832,2022-09-03,180
2022-09-10,2,8707,3449,,,3638,2022-09-04,180
2022-09-10,4,56884,12833,,1,94462,2022-09-05,180
2022-09-10,,33570,14362,,45,88372,2022-09-06,180
2022-09-10,1,42105,18059,,19,88358,2022-09-07,180
2022-09-10,1,29943,7185,,7,81216,2022-09-08,180
2022-09-10,2,68741,31044,,91,74529,2022-09-09,180
2022-09-10,,47453,1975,,,1281,2022-09-10,180
